,listing,price
184,Bijoux Terner Elegant Black Evening Clutch Purse Silver Chain Strap‎ Formal,26.0
185,"Viral Beaded Velvet Handbag
          
      NWT",75.0
186,Rich Brown Leather Tote,45.0
187,Coach Vintage Small Duffle Sac,189.0
188,Brown Patchwork Leather Shoulder Bag,15.0
189,Etienne Aigner Small Purse,30.0
190,New York &‎ Company Crocodile-Embossed  Tote,22.0
191,"Versace 1010951 Crocodile-Embossed Black Leather Mini Bag
          
      NWT",700.0
192,Kate Spade Shoulder Bag,55.0
193,Dana Buchman Tropical Floral Satchel/Crossbody – White Multicolor,29.0
194,PIXIE‎ MOOD Tote Bag Peach Leather Scalloped Top Snap Closure,18.0
195,"Marzo In Leather Vintage Never Used Black Leather Crossbody Bag Purse Ostrich
          
      NWT",76.0
196,Z Spoke Zac Posen,75.0
197,Coach Kristen Heather Hobo Satchel Leather Convertible Shoulder Crossbody Gray,65.0
198,"MARC JACOBS DAISY MEDIUM TOTE BAG NWT
          
      NWT",45.0
199,Lug Skipper Shoulder Pouch In Fog Gray Crossbody Bag‎,22.0
200,Charles David Brown Leather Croc Embossed Tassel Braided Shoulder Bag,38.0
201,Calvin Klein Dark Brown Monogram Tote,56.0
202,"Ed Hardy set of 2 Cosmetic Makeup Bags
          
      NWT",45.0
203,MICHAEL Michael Kors Brown Signature Coated Leather Jet Set East West Tote,38.0
204,Margot Black Soft Leather Crossbody Bag Nylon Strap Grunge Classic Punk,38.0
205,Madewell Black Leather Lorimer‎ Mini Backpack Classic Minimalist Chic Indie,70.0
206,Victoria’s Secret black vinyl handbag or shoulder bag,20.0
207,Whiting & Davis Gold Mesh Evening Bag Chain Strap,40.0
208,Kate Spade New York Thomas Classic Noel Crossbody Bag Black Beige Patent Leather,44.0
209,Michael Kors Signature Lydia Large‎ Shoulder Hobo Bag in Natural/Acorn Authentic,125.0
210,Chanel Black Quilted Crossbody with Gold Chain,388.0
211,Vintage Black Glass Beaded Clamshell Shoulder Bag With Long Strap Elegant,26.0
212,"🔥""Lululemon All Night Festival Bag 1L - Black Crossbody, Like New, NWOT""
          
      NWT",49.0
213,Coach Dakotah 34397 Cream Leather Shoulder Bag,250.0
214,Stylish Paisley Crossbody Bag 💗,13.0
215,Chanel Black Caviar Leather Wallet- Great Used Condition,350.0
216,Kate Spade New York Schuyler Medium Toe and Wallet PocketbookBeige/Tan Leather,130.0
217,"New Season Chloé large Carry Canvas Leather tote bag in Neutral Beige ~NWT~
          
      NWT",1250.0
218,American Leather Co Jamestown light brown leather tote,55.0
219,Loungefly Disney Cruise Line Donald Duck Sailor Wallet,45.0
220,"Women Mini Vegan Leather Print Monogram Crossbody Bag
          
      NWT",32.0
221,All Saints Evaline Black Croc-Embossed Leather Crossbody Bag with Dust Bag,100.0
222,"Glossy Black Crescent Hobo Bag
          
      NWT",10.0
223,NEW MARNI Tropicalia small Tote bag in green,339.0
224,Chanel Classic Flap Medium,499.0
225,"NWT Juicy Couture Black Velour Wingin' It Tote & Heart Pouch - Y2K
          
      NWT",100.0
226,Lilly Pulitzer Cute Lunch Bag for Women Large Capacity Insulated Tote Bag,33.0
227,"Japanese Pink Clutch with Embroidery NIB
          
      NWT",10.0
228,Mermaid Sequin Backpack,28.0
229,"Coach Hailey Flap Bag Shoulder/Crossbody In Leather/Silver/Black CAN72 NWT
          
      NWT",169.0
230,Vintage 1950s LODIS Womens Ultra Soft Black Leather Kisslock Wallet Clutch Spain,39.0
231,Talbots Long Sleeve Women's Shirt Blue & White Striped Sz Xl,6.0
232,IPSY Cosmetic Pink Mauve Glam bag,6.0
233,Patricia Nash Black‎ & Tan Tuareg Woven Ava Medium Leather Crossbody Tote,140.0
234,White Bottega Veneta Fringe Cassette Bag,1550.0
235,Kate Spade Green Polka Dot Daycation Bon Shopper Tote,48.0
236,Vintage COACH Lennox Bag Navy Leather Crossbody RARE 9918,448.0
237,Vintage Patricia Nash Praga Flap Genuine Red Leather Crossbody Bag Purse,53.0
238,"Y2K Coach Signature Heritage Stripe Tote Bag Brown Pink Monogram
 F13548 Logo",50.0
239,Betsey Johnson Handbag Satchel Black Embossed Hearts and Floral Lining,56.0
